date,vessel_id,port_code,vessel_proximity_to_demand_nm,vessel_available_capacity_m3,urgency_score,collection_efficiency_m3_per_nm,fuel_cost_per_m3_collected,multi_stop_opportunity,contract_obligation_days,vessel_fuel_autonomy_days,weather_risk_enroute
2023-11-28,HEC-CM-001,ALE,1775.6,357.0,0.1345,0.4067,317.613,0,8.0,0.0,1.67
2023-11-28,HEC-CM-001,ALG,4.4,357.0,0.1538,263.1136,0.4909,2,12.0,0.0,4.2
2023-11-28,HEC-CM-001,BCN,471.1,357.0,0.0582,1.2186,105.9927,0,5.0,0.0,3.59
2023-11-28,HEC-CM-001,GEN,819.8,357.0,0.0733,0.6532,197.742,0,3.0,0.0,4.16
2023-11-28,HEC-CM-001,GIB,0.0,357.0,0.109,1140.7,0.0,2,9.0,0.0,4.2
2023-11-28,HEC-CM-001,HAM,1226.0,357.0,0.0086,0.8829,146.303,0,13.0,0.0,7.2
2023-11-28,HEC-CM-001,IST,1626.9,357.0,0.0124,0.5671,227.7707,0,12.0,0.0,1.67
2023-11-28,HEC-CM-001,LIM,1868.5,357.0,0.0863,0.1733,745.131,0,4.0,0.0,1.67
2023-11-28,HEC-CM-001,MLT,963.3,357.0,0.0233,0.582,221.9519,0,12.0,0.0,4.16
2023-11-28,HEC-CM-001,MRS,654.7,357.0,0.0287,0.8567,150.7674,0,12.0,0.0,3.59
2023-11-28,HEC-CM-001,PIR,1387.9,357.0,0.0355,0.7021,183.9803,0,9.0,0.0,1.67
2023-11-28,HEC-CM-001,PSD,1890.9,357.0,0.48,0.5067,254.8959,0,10.0,0.0,1.67
2023-11-28,HEC-CM-001,RTM,1034.9,357.0,0.0127,1.1345,113.8528,0,10.0,0.0,3.74
2023-11-28,HEC-CM-001,TAN,30.5,357.0,0.5938,24.482,5.276,2,10.0,0.0,4.2
2023-11-28,HEC-CM-002,ALE,1603.3,476.0,0.1345,0.4504,439.4402,0,8.0,7.3,1.67
2023-11-28,HEC-CM-002,ALG,1199.8,476.0,0.1538,0.9649,205.1139,2,12.0,7.3,4.2
2023-11-28,HEC-CM-002,BCN,770.8,476.0,0.0582,0.7448,265.7275,0,5.0,7.3,3.59
2023-11-28,HEC-CM-002,GEN,534.5,476.0,0.0733,1.0019,197.5471,0,3.0,7.3,4.16
2023-11-28,HEC-CM-002,GIB,1197.2,476.0,0.109,0.9528,207.7197,2,9.0,7.3,4.2
2023-11-28,HEC-CM-002,HAM,32.1,476.0,0.0086,33.7196,5.8695,0,13.0,7.3,7.2
2023-11-28,HEC-CM-002,IST,1088.6,476.0,0.0124,0.8475,233.5271,0,12.0,7.3,1.67
2023-11-28,HEC-CM-002,LIM,1507.3,476.0,0.0863,0.2149,921.0244,0,4.0,7.3,1.67
2023-11-28,HEC-CM-002,MLT,1069.2,476.0,0.0233,0.5243,377.475,0,12.0,7.3,4.16
2023-11-28,HEC-CM-002,MRS,617.1,476.0,0.0287,0.9089,217.7471,0,12.0,7.3,3.59
2023-11-28,HEC-CM-002,PIR,1099.8,476.0,0.0355,0.886,223.3875,0,9.0,7.3,1.67
2023-11-28,HEC-CM-002,PSD,1659.9,476.0,0.48,0.5773,342.8531,0,10.0,7.3,1.67
2023-11-28,HEC-CM-002,RTM,190.7,476.0,0.0127,6.1568,32.1461,0,10.0,7.3,3.74
2023-11-28,HEC-CM-002,TAN,1226.0,476.0,0.5938,0.6091,324.9576,2,10.0,7.3,4.2
2023-11-28,HEC-CM-003,ALE,1797.9,2890.0,0.1345,0.4016,435.7187,0,8.0,0.0,1.67
2023-11-28,HEC-CM-003,ALG,27.0,2890.0,0.1538,42.8778,4.0814,2,12.0,0.0,4.2
2023-11-28,HEC-CM-003,BCN,501.6,2890.0,0.0582,1.1445,152.9002,0,5.0,0.0,3.59
2023-11-28,HEC-CM-003,GEN,850.3,2890.0,0.0733,0.6298,277.8758,0,3.0,0.0,4.16
2023-11-28,HEC-CM-003,GIB,30.5,2890.0,0.109,37.4,4.6791,2,9.0,0.0,4.2
2023-11-28,HEC-CM-003,HAM,1254.9,2890.0,0.0086,0.8625,202.8894,0,13.0,0.0,7.2
2023-11-28,HEC-CM-003,IST,1655.0,2890.0,0.0124,0.5575,313.9226,0,12.0,0.0,1.67
2023-11-28,HEC-CM-003,LIM,1893.5,2890.0,0.0863,0.1711,1023.0395,0,4.0,0.0,1.67
2023-11-28,HEC-CM-003,MLT,987.1,2890.0,0.0233,0.5679,308.1386,0,12.0,0.0,4.16
2023-11-28,HEC-CM-003,MRS,685.3,2890.0,0.0287,0.8185,213.8126,0,12.0,0.0,3.59
2023-11-28,HEC-CM-003,PIR,1414.2,2890.0,0.0355,0.689,253.9871,0,9.0,0.0,1.67
2023-11-28,HEC-CM-003,PSD,1913.7,2890.0,0.48,0.5007,349.5069,0,10.0,0.0,1.67
2023-11-28,HEC-CM-003,RTM,1062.7,2890.0,0.0127,1.1048,158.3958,0,10.0,0.0,3.74
2023-11-28,HEC-CM-003,TAN,0.0,2890.0,0.5938,746.7,0.0,2,10.0,0.0,4.2
2023-11-28,HEC-CM-004,ALE,724.5,1870.0,0.1345,0.9967,135.8667,0,8.0,0.0,1.67
2023-11-28,HEC-CM-004,ALG,1073.7,1870.0,0.1538,1.0782,125.5912,2,12.0,0.0,4.2
2023-11-28,HEC-CM-004,BCN,742.7,1870.0,0.0582,0.773,175.1854,0,5.0,0.0,3.59
2023-11-28,HEC-CM-004,GEN,596.4,1870.0,0.0733,0.8979,150.817,0,3.0,0.0,4.16
2023-11-28,HEC-CM-004,GIB,1069.3,1870.0,0.109,1.0668,126.9405,2,9.0,0.0,4.2
2023-11-28,HEC-CM-004,HAM,1065.1,1870.0,0.0086,1.0162,133.2523,0,13.0,0.0,7.2
2023-11-28,HEC-CM-004,IST,632.1,1870.0,0.0124,1.4596,92.7779,0,12.0,0.0,1.67
2023-11-28,HEC-CM-004,LIM,799.7,1870.0,0.0863,0.405,334.3399,0,4.0,0.0,1.67
2023-11-28,HEC-CM-004,MLT,115.2,1870.0,0.0233,4.8663,27.8273,0,12.0,0.0,4.16
2023-11-28,HEC-CM-004,MRS,670.0,1870.0,0.0287,0.8372,161.7564,0,12.0,0.0,3.59
2023-11-28,HEC-CM-004,PIR,339.4,1870.0,0.0355,2.8709,47.1679,0,9.0,0.0,1.67
2023-11-28,HEC-CM-004,PSD,831.9,1870.0,0.48,1.1518,117.5674,0,10.0,0.0,1.67
2023-11-28,HEC-CM-004,RTM,1065.4,1870.0,0.0127,1.102,122.8796,0,10.0,0.0,3.74
2023-11-28,HEC-CM-004,TAN,1094.0,1870.0,0.5938,0.6825,198.4007,2,10.0,0.0,4.2
2023-11-28,HEC-CM-005,ALE,1797.9,527.0,0.1345,0.4016,420.1574,0,8.0,0.0,1.67
2023-11-28,HEC-CM-005,ALG,27.0,527.0,0.1538,42.8778,3.9356,2,12.0,0.0,4.2
2023-11-28,HEC-CM-005,BCN,501.6,527.0,0.0582,1.1445,147.4395,0,5.0,0.0,3.59
2023-11-28,HEC-CM-005,GEN,850.3,527.0,0.0733,0.6298,267.9517,0,3.0,0.0,4.16
2023-11-28,HEC-CM-005,GIB,30.5,527.0,0.109,37.4,4.512,2,9.0,0.0,4.2
2023-11-28,HEC-CM-005,HAM,1254.9,527.0,0.0086,0.8625,195.6434,0,13.0,0.0,7.2
2023-11-28,HEC-CM-005,IST,1655.0,527.0,0.0124,0.5575,302.7111,0,12.0,0.0,1.67
2023-11-28,HEC-CM-005,LIM,1893.5,527.0,0.0863,0.1711,986.5024,0,4.0,0.0,1.67
2023-11-28,HEC-CM-005,MLT,987.1,527.0,0.0233,0.5679,297.1337,0,12.0,0.0,4.16
2023-11-28,HEC-CM-005,MRS,685.3,527.0,0.0287,0.8185,206.1765,0,12.0,0.0,3.59
2023-11-28,HEC-CM-005,PIR,1414.2,527.0,0.0355,0.689,244.9161,0,9.0,0.0,1.67
2023-11-28,HEC-CM-005,PSD,1913.7,527.0,0.48,0.5007,337.0245,0,10.0,0.0,1.67
2023-11-28,HEC-CM-005,RTM,1062.7,527.0,0.0127,1.1048,152.7388,0,10.0,0.0,3.74
2023-11-28,HEC-CM-005,TAN,0.0,527.0,0.5938,746.7,0.0,2,10.0,0.0,4.2
2023-11-28,HEC-CM-006,ALE,751.3,2125.0,0.1345,0.9611,149.5629,0,8.0,0.0,1.67
2023-11-28,HEC-CM-006,ALG,1208.6,2125.0,0.1538,0.9579,150.0702,2,12.0,0.0,4.2
2023-11-28,HEC-CM-006,BCN,793.8,2125.0,0.0582,0.7232,198.7611,0,5.0,0.0,3.59
2023-11-28,HEC-CM-006,GEN,526.5,2125.0,0.0733,1.0171,141.334,0,3.0,0.0,4.16
2023-11-28,HEC-CM-006,GIB,1204.2,2125.0,0.109,0.9473,151.7522,2,9.0,0.0,4.2
2023-11-28,HEC-CM-006,HAM,870.6,2125.0,0.0086,1.2433,115.6215,0,13.0,0.0,7.2
2023-11-28,HEC-CM-006,IST,422.8,2125.0,0.0124,2.1821,65.8763,0,12.0,0.0,1.67
2023-11-28,HEC-CM-006,LIM,726.9,2125.0,0.0863,0.4456,322.6054,0,4.0,0.0,1.67
2023-11-28,HEC-CM-006,MLT,373.2,2125.0,0.0233,1.5021,95.6966,0,12.0,0.0,4.16
2023-11-28,HEC-CM-006,MRS,660.9,2125.0,0.0287,0.8487,169.3785,0,12.0,0.0,3.59
2023-11-28,HEC-CM-006,PIR,243.5,2125.0,0.0355,4.0016,35.9227,0,9.0,0.0,1.67
2023-11-28,HEC-CM-006,PSD,829.4,2125.0,0.48,1.1553,124.4273,0,10.0,0.0,1.67
2023-11-28,HEC-CM-006,RTM,923.2,2125.0,0.0127,1.2718,113.0313,0,10.0,0.0,3.74
2023-11-28,HEC-CM-006,TAN,1232.2,2125.0,0.5938,0.606,237.2154,2,10.0,0.0,4.2
2023-11-28,HEC-CM-007,ALE,1001.2,544.0,0.1345,0.7212,303.2994,0,8.0,0.0,1.67
2023-11-28,HEC-CM-007,ALG,784.1,544.0,0.1538,1.4765,148.1574,2,12.0,0.0,4.2
2023-11-28,HEC-CM-007,BCN,583.7,544.0,0.0582,0.9836,222.4079,0,5.0,0.0,3.59
2023-11-28,HEC-CM-007,GEN,622.8,544.0,0.0733,0.8598,254.4118,0,3.0,0.0,4.16
2023-11-28,HEC-CM-007,GIB,779.9,544.0,0.109,1.4626,149.56,2,9.0,0.0,4.2
2023-11-28,HEC-CM-007,HAM,1168.3,544.0,0.0086,0.9265,236.1101,0,13.0,0.0,7.2
2023-11-28,HEC-CM-007,IST,976.7,544.0,0.0124,0.9446,231.5772,0,12.0,0.0,1.67
2023-11-28,HEC-CM-007,LIM,1122.6,544.0,0.0863,0.2885,758.1622,0,4.0,0.0,1.67
