batch_id,oil_recovery_yield_pct,quality_pass,quality_failure_reason,net_margin_eur,facility_code,waste_subcategory,operator_id,operator_experience_years,processing_date,viscosity_temperature_ratio,emulsion_difficulty_score,oil_water_density_gap,solid_particle_settling_velocity,waste_age_degradation,sulfur_to_oil_ratio,contamination_index,cat_fines_risk,viscosity_40c_cst,emulsion_layer_pct,density_15c_kg_m3,particle_size_d50_micron,sulfur_total_pct,oil_content_pct,water_content_pct,solids_content_pct,pour_point_c,flash_point_c,specific_energy_input,g_force,residence_time_actual,chemical_to_emulsion_ratio,temperature_vs_pour_point_margin,capacity_utilization,feed_temperature_c,feed_flow_rate_m3_hr,centrifuge_speed_rpm,chemical_pump_rate_ml_min,hour_of_day,day_of_week,month,is_night_shift,is_weekend,rolling_yield_7d,rolling_energy_7d,equipment_hours_since_service,equipment_condition_score,similar_batch_avg_yield,operator_avg_yield,ambient_heating_delta,viscosity_x_flow_rate,solids_x_rpm,water_x_temperature,sulfur_x_volume,age_x_emulsion
BATCH-PIR-2022-00001,90.82,True,,780876.97,PIR,Cargo Residues (Crude),OP-PIR-02,7.2,2022-01-01,0.8110065401180412,4.138893000000001,110.0,1.494210298572047e-05,4.516082782290085,0.0044868230846213724,0.6527000000000001,1,254.21,2.2,890.0,8.8,0.4035,89.93,6.98,3.09,7.9,127.3,5.430127136306794,23553.354256535586,2519.04,100.0,45.0,0.9142530487804877,50.0,45.71265243902439,7000.0,500.0,4,5,1,1,1,90.82,5.430127136306794,9600,80.80000000000001,,,42.2,11620.61337652439,21630.0,349.0,774.3972000000001,18.691583415040963
BATCH-PIR-2022-00002,42.96,True,,357.37,PIR,Bilge Water,OP-PIR-08,9.1,2022-01-01,0.14032063437338393,7.368156,-12.299999999999955,0.0050866613148648635,3.97599973916306,0.0032591876208897487,6.9616999999999996,0,40.7,5.9,1012.3,42.3,0.0337,10.34,85.51,4.15,20.3,51.7,5.121508379888269,18075.83001082964,419.59999999999997,100.0,45.0,0.17063870352716873,50.0,10.238322211630123,7000.0,500.0,13,5,1,0,1,66.89,5.275817758097531,29400,41.2,,,38.1,416.69971401334607,29050.000000000004,4275.5,2.4129199999999997,29.295786334112734
BATCH-PIR-2022-00003,51.2,True,,4842.32,PIR,Fuel Oil Sludge,OP-PIR-03,10.7,2022-01-02,37.72071693847893,451.9230407999999,-19.0,0.00035580567693074285,2.445751675496295,0.0015217391304347828,0.6307999999999999,1,11680.22,29.7,1019.0,186.6,0.0854,56.12,24.84,19.04,9.7,80.8,6.747553816046967,20266.839709112017,315.59999999999997,100.0,45.0,0.27756653992395436,50.0,9.714828897338403,7000.0,500.0,2,6,1,1,1,61.66,5.7663964440806765,12800,74.4,,,44.9,113471.33878326997,133280.0,1242.0,4.36394,1105.2915342319802
BATCH-PIR-2022-00004,80.99,False,Sulfur specification exceeded,598112.72,PIR,Cargo Residues (Crude),OP-PIR-09,17.3,2022-01-02,0.43304714077433987,11.053185,99.60000000000002,3.098612464462067e-05,4.608622452152221,0.04727651690597499,1.2139000000000002,0,133.66,6.5,900.4,8.7,4.0828,86.36,9.15,4.49,-1.2,80.2,5.34841799397331,18075.83001082964,3413.34545455,100.0,45.0,0.5939467544496548,50.0,32.66707149473102,7000.0,500.0,3,6,1,1,1,66.4925,5.661901831553835,31000,38.0,90.82,,41.9,4366.280775985748,31430.0,457.5,7587.47552,50.93995655879214
BATCH-PIR-2022-00005,53.92,True,,15918.92,PIR,Fuel Oil Sludge,OP-PIR-02,7.2,2022-01-02,46.984679353910124,492.658464,-71.0,5.888190127000032e-06,4.6973776828311316,0.005963521015067407,0.7271,0,14689.76,31.4,1071.0,24.2,0.2256,37.83,35.61,26.56,-4.4,140.0,6.713428703276419,23005.601831964992,648.9333333333333,100.0,45.0,0.44524347647421414,50.0,20.035956441339636,7000.0,500.0,20,6,1,0,1,63.977999999999994,5.872207205898351,21900,56.2,51.2,90.82,44.4,294323.39149373333,185920.0,1780.5,48.887519999999995,2314.2028740514643
BATCH-PIR-2022-00006,49.32,True,,23.17,PIR,Engine Room Oily Water,OP-PIR-09,17.3,2022-01-03,0.06406061649733082,0.36669599999999997,-10.700000000000045,0.007136839462365592,2.575147204638049,0.4626781002638522,28.7453,0,18.6,0.3,1010.7,34.0,3.5071,7.58,89.52,2.9,27.7,67.1,4.297101449275362,18075.83001082964,358.7142857166667,100.0,45.0,0.2473118279553477,50.0,6.924731182749736,7000.0,500.0,1,0,1,1,0,61.535,5.60968957979452,4800,90.4,,80.99,44.6,128.7999999991451,20300.0,4476.0,145.19394,0.944296179351954
BATCH-PIR-2022-00007,45.98,True,,292.61,PIR,Engine Room Oily Water,OP-PIR-02,7.2,2022-01-03,0.11257074258274741,10.018354,4.0,0.0006470714259597804,3.486215751333065,0.05241666666666667,9.2964,1,32.82,9.7,996.0,14.1,0.3145,6.0,93.35,0.65,6.6,41.3,4.667481662591688,18075.83001082964,350.61818181666666,100.0,45.0,0.12725575606775588,50.0,6.999066583726574,7000.0,500.0,2,0,1,1,0,59.31285714285714,5.475088448765544,31000,38.0,49.32,72.37,45.5,229.70936527790616,4550.0,4667.5,12.86305,34.92614351723062
BATCH-PIR-2022-00008,41.28,True,,2066.25,PIR,Fuel Oil Sludge,OP-PIR-10,15.8,2022-01-03,37.04915114554146,675.585072,-11.200000000000045,0.0002501993118305594,3.963968213915897,0.0035313767597232163,0.44110000000000005,1,11238.86,46.0,1011.2,156.3,0.148,41.91,37.41,20.68,10.2,190.8,6.395294117647059,18075.83001082964,102.5,100.0,45.0,0.41463414634146345,50.0,24.878048780487806,7000.0,500.0,4,0,1,1,0,57.05875,5.590114157375734,29400,41.2,52.56,,43.8,279600.9073170732,144760.0,1870.4999999999998,6.29,2677.9977512040823
BATCH-PIR-2022-00009,48.04,True,,3350.12,PIR,Fuel Oil Sludge,OP-PIR-01,3.9,2022-01-03,45.5525140562249,1081.9035215999997,15.700000000000045,4.091921665766225e-05,1.5171835706506596,0.002125689084895259,0.7066,1,14178.22,59.4,984.3,76.0,0.0964,45.35,28.39,26.26,-6.9,124.1,7.832898172323761,18075.83001082964,490.0714285666667,100.0,45.0,0.16746829908339372,50.0,4.689112374335024,7000.0,500.0,4,0,1,1,0,56.056666666666665,5.839312381258847,4800,90.4,48.800000000000004,,43.8,66483.26684804432,183820.0,1419.5,3.6921199999999996,1641.4462480006107
BATCH-PIR-2022-00010,38.77,True,,2642.74,PIR,Scale & Sludge from Tank Cleaning,OP-PIR-02,7.2,2022-01-03,38.112235992319775,28.601399999999998,-144.0,0.00032941338065904885,3.5021510996549723,0.10813735177865613,0.7689,0,10917.25,2.4,1144.0,138.5,2.1887,20.24,14.04,65.72,0.9,130.6,7.238532110091743,18075.83001082964,387.2,100.0,45.0,0.22520661157024793,50.0,13.512396694214877,7000.0,500.0,10,0,1,0,0,54.327999999999996,5.979234354142138,29400,41.2,,63.57333333333333,39.3,147518.21280991737,460040.0,702.0,190.85464,100.16642446167172
