sample_id,reception_id,sample_point,sample_timestamp,water_content_pct,oil_content_pct,solids_content_pct,density_15c_kg_m3,viscosity_40c_cst,viscosity_100c_cst,flash_point_c,pour_point_c,sulfur_total_pct,ash_content_pct,carbon_residue_pct,vanadium_ppm,nickel_ppm,iron_ppm,sodium_ppm,aluminum_silicon_ppm,chloride_ppm,acid_number_mg_koh_g,calorific_value_gross_mj_kg,calorific_value_net_mj_kg,pcb_ppm,btex_ppm,h2s_ppm,emulsion_layer_pct,particle_size_d50_micron
LAB-HAM-2022-00001,REC-HAM-2022-00001,Inlet,2022-01-02 17:44:39,87.22,12.04,0.74,995.6,22.16,4.43,74.6,27.4,0.2114,2.838,11.49,10.2,3.0,476.4,25955.1,45.1,14709.8,4.99,4.82,4.5,0.0551,2.53,90.19,5.6,6.8
LAB-HAM-2022-00002,REC-HAM-2022-00001,Mid-Process,2022-01-01 07:44:39,79.77,20.22,0.01,980.3,11.86,3.05,70.9,27.4,0.2114,2.838,11.49,10.2,3.0,476.4,25955.1,45.1,14709.8,4.99,8.71,8.13,0.0551,2.53,90.19,5.6,6.8
LAB-HAM-2022-00003,REC-HAM-2022-00001,Oil Output,2022-01-02 06:44:39,0.86,97.26,1.88,889.2,76.65,9.01,49.5,27.4,0.1691,1.703,11.49,9.2,2.7,238.2,2595.5,13.5,735.5,4.99,40.2,37.75,0.0551,2.53,9.02,0.6,6.8
LAB-HAM-2022-00004,REC-HAM-2022-00001,Water Output,2022-01-01 00:44:39,99.96,0.03,0.01,1000.2,4.33,0.93,,27.4,0.2114,2.838,11.49,10.2,3.0,476.4,25955.1,45.1,14709.8,4.99,0.01,0.01,0.0551,2.53,90.19,5.6,6.8
LAB-MLT-2022-00001,REC-MLT-2022-00001,Inlet,2022-01-02 15:57:31,24.19,54.65,21.16,983.2,3152.44,66.76,148.0,13.1,4.0694,2.496,12.99,161.3,53.8,460.5,446.4,55.6,346.5,2.069,22.72,21.46,0.0536,34.94,138.92,17.1,186.8
LAB-MLT-2022-00002,REC-MLT-2022-00001,Mid-Process,2022-01-02 23:57:31,9.85,72.58,17.57,963.2,1635.54,47.18,140.6,13.1,4.0694,2.496,12.99,161.3,53.8,460.5,446.4,55.6,346.5,2.069,31.65,30.04,0.0536,34.94,138.92,17.1,186.8
LAB-MLT-2022-00003,REC-MLT-2022-00001,Oil Output,2022-01-02 13:57:31,0.66,94.25,5.09,878.8,50.49,7.13,203.0,13.1,3.2555,1.498,12.99,145.2,48.4,230.2,44.6,16.7,17.3,2.069,40.87,38.63,0.0536,34.94,13.89,1.7,186.8
LAB-PIR-2022-00001,REC-PIR-2022-00001,Inlet,2022-01-01 16:12:32,6.98,89.93,3.09,890.0,254.21,17.41,127.3,7.9,0.4035,1.476,16.62,48.1,17.1,232.1,355.4,61.5,307.1,2.736,39.42,37.8,0.0304,0.5,169.63,2.2,8.8
LAB-PIR-2022-00002,REC-PIR-2022-00001,Mid-Process,2022-01-03 03:12:32,0.5,99.0,0.5,836.4,150.51,13.09,120.9,7.9,0.4035,1.476,16.62,48.1,17.1,232.1,355.4,61.5,307.1,2.736,42.21,39.8,0.0304,0.5,169.63,2.2,8.8
LAB-PIR-2022-00003,REC-PIR-2022-00001,Oil Output,2022-01-02 13:12:32,0.92,94.2,4.88,939.8,73.92,8.83,156.8,7.9,0.3228,0.886,16.62,43.3,15.4,116.0,35.5,18.4,15.4,2.736,38.16,35.6,0.0304,0.5,16.96,0.2,8.8
LAB-PIR-2022-00004,REC-PIR-2022-00001,Water Output,2022-01-02 17:12:32,99.96,0.03,0.01,1000.5,4.12,0.75,,7.9,0.4035,1.476,16.62,48.1,17.1,232.1,355.4,61.5,307.1,2.736,0.01,0.01,0.0304,0.5,169.63,2.2,8.8
LAB-PIR-2022-00005,REC-PIR-2022-00002,Inlet,2022-01-03 05:29:34,85.51,10.34,4.15,1012.3,40.7,6.3,51.7,20.3,0.0337,2.027,8.39,2.3,0.6,131.0,6827.8,47.1,20878.7,2.158,4.13,3.89,0.033,29.03,186.81,5.9,42.3
LAB-PIR-2022-00006,REC-PIR-2022-00002,Mid-Process,2022-01-02 02:29:34,78.61,18.97,2.42,992.8,18.74,4.02,49.1,20.3,0.0337,2.027,8.39,2.3,0.6,131.0,6827.8,47.1,20878.7,2.158,7.66,7.16,0.033,29.03,186.81,5.9,42.3
