timestamp,zone_id,significant_wave_height_m,max_wave_height_m,wave_period_s,swell_height_m,wind_speed_knots,wind_direction_deg,visibility_nm,sea_surface_temp_c,beaufort_scale,operation_feasibility,small_vessel_limit_dwt
2022-01-01 00:00:00,MED-W,1.44,2.6,3.0,1.01,14.3,97.0,12.8,13.0,4,Go,0
2022-01-01 06:00:00,MED-W,1.62,2.92,3.2,1.16,20.6,223.0,4.1,12.6,5,Go,500
2022-01-01 12:00:00,MED-W,0.97,1.75,2.5,0.74,10.6,248.0,1.7,12.7,3,Go,0
2022-01-01 18:00:00,MED-W,1.54,2.77,3.1,1.19,17.0,295.0,0.6,13.8,5,Go,500
2022-01-02 00:00:00,MED-W,1.67,3.0,3.2,1.33,21.2,231.0,17.7,12.8,5,Go,500
2022-01-02 06:00:00,MED-W,1.92,3.46,3.5,1.53,19.4,247.0,18.6,12.9,5,Go,500
2022-01-02 12:00:00,MED-W,1.56,2.81,3.1,1.12,21.3,299.0,11.3,13.2,5,Go,500
2022-01-02 18:00:00,MED-W,1.68,3.02,3.2,1.01,17.9,350.0,3.2,13.5,5,Go,500
2022-01-03 00:00:00,MED-W,2.09,3.77,3.6,1.41,19.8,299.0,15.5,12.8,5,Marginal,1000
2022-01-03 06:00:00,MED-W,1.28,2.3,2.8,0.8,14.6,339.0,16.6,12.4,4,Go,0
2022-01-03 12:00:00,MED-W,1.41,2.54,3.0,1.1,14.6,206.0,4.1,12.7,4,Go,0
2022-01-03 18:00:00,MED-W,2.1,3.77,3.6,1.18,21.0,270.0,13.5,12.4,5,Marginal,1000
2022-01-04 00:00:00,MED-W,2.52,4.53,4.0,1.57,25.9,262.0,18.9,12.4,6,Marginal,2000
2022-01-04 06:00:00,MED-W,2.11,3.8,3.6,1.33,20.2,309.0,19.2,13.0,5,Marginal,1000
2022-01-04 12:00:00,MED-W,1.93,3.48,3.5,1.32,18.1,250.0,15.3,12.9,5,Go,500
2022-01-04 18:00:00,MED-W,2.67,4.81,4.1,2.06,22.8,152.0,2.3,13.3,6,Marginal,2000
2022-01-05 00:00:00,MED-W,2.0,3.6,3.5,1.34,20.6,289.0,5.5,12.7,5,Marginal,1000
2022-01-05 06:00:00,MED-W,2.12,3.82,3.6,1.38,20.9,255.0,1.9,13.1,5,Marginal,1000
2022-01-05 12:00:00,MED-W,2.2,3.96,3.7,1.43,17.1,149.0,17.7,13.2,5,Marginal,1000
2022-01-05 18:00:00,MED-W,1.67,3.0,3.2,1.08,21.2,219.0,8.7,13.3,5,Go,500
2022-01-06 00:00:00,MED-W,1.22,2.2,2.8,0.77,13.6,215.0,15.3,13.5,4,Go,0
2022-01-06 06:00:00,MED-W,1.52,2.74,3.1,0.95,20.9,195.0,7.6,13.1,5,Go,500
2022-01-06 12:00:00,MED-W,1.75,3.14,3.3,1.13,19.1,313.0,12.6,13.3,5,Go,500
2022-01-06 18:00:00,MED-W,2.13,3.84,3.7,1.47,19.5,338.0,7.7,12.4,5,Marginal,1000
2022-01-07 00:00:00,MED-W,2.46,4.44,3.9,1.7,17.8,304.0,10.2,13.7,5,Marginal,1000
2022-01-07 06:00:00,MED-W,2.34,4.21,3.8,1.3,19.3,335.0,1.2,12.4,5,Marginal,1000
2022-01-07 12:00:00,MED-W,2.17,3.9,3.7,1.68,20.9,145.0,18.9,13.0,5,Marginal,1000
2022-01-07 18:00:00,MED-W,2.55,4.6,4.0,1.73,23.0,190.0,12.3,13.0,6,Marginal,2000
2022-01-08 00:00:00,MED-W,3.33,5.99,4.6,2.57,26.2,322.0,14.8,13.1,6,No-Go,99999
2022-01-08 06:00:00,MED-W,3.8,6.84,4.9,2.84,30.4,339.0,14.8,13.1,7,No-Go,99999
2022-01-08 12:00:00,MED-W,3.73,6.71,4.8,2.36,27.0,2.0,10.2,13.3,7,No-Go,99999
2022-01-08 18:00:00,MED-W,3.7,6.66,4.8,2.14,32.8,251.0,9.2,12.2,7,No-Go,99999
2022-01-09 00:00:00,MED-W,3.58,6.44,4.7,2.01,33.5,235.0,11.5,13.1,7,No-Go,99999
2022-01-09 06:00:00,MED-W,3.67,6.61,4.8,2.52,31.6,264.0,3.2,13.1,7,No-Go,99999
2022-01-09 12:00:00,MED-W,3.49,6.29,4.7,1.93,21.2,258.0,8.9,12.9,6,No-Go,99999
2022-01-09 18:00:00,MED-W,3.46,6.23,4.6,2.11,22.0,239.0,6.8,13.2,6,No-Go,99999
2022-01-10 00:00:00,MED-W,2.84,5.11,4.2,1.85,22.3,70.0,6.9,13.5,6,Marginal,2000
2022-01-10 06:00:00,MED-W,2.26,4.06,3.8,1.72,20.7,266.0,1.1,12.5,5,Marginal,1000
2022-01-10 12:00:00,MED-W,2.17,3.9,3.7,1.47,18.0,212.0,17.3,13.2,5,Marginal,1000
2022-01-10 18:00:00,MED-W,2.61,4.7,4.0,1.9,22.2,56.0,15.3,12.1,6,Marginal,2000
2022-01-11 00:00:00,MED-W,2.29,4.12,3.8,1.68,18.6,221.0,4.4,13.2,5,Marginal,1000
2022-01-11 06:00:00,MED-W,1.54,2.78,3.1,1.09,19.3,246.0,3.9,12.9,5,Go,500
2022-01-11 12:00:00,MED-W,1.12,2.01,2.6,0.73,14.3,60.0,8.9,12.8,4,Go,0
2022-01-11 18:00:00,MED-W,1.6,2.87,3.2,0.99,19.9,20.0,7.9,12.5,5,Go,500
2022-01-12 00:00:00,MED-W,2.0,3.59,3.5,1.37,17.6,182.0,3.5,13.5,5,Go,500
2022-01-12 06:00:00,MED-W,2.97,5.35,4.3,1.92,24.2,334.0,14.7,13.0,6,Marginal,2000
2022-01-12 12:00:00,MED-W,2.75,4.95,4.1,2.16,21.5,263.0,0.7,13.1,6,Marginal,2000
2022-01-12 18:00:00,MED-W,2.77,4.98,4.2,1.99,21.4,227.0,9.2,13.2,6,Marginal,2000
