platform_id,platform_name,region,latitude,longitude,operator,date,production_bpd,water_cut_pct,waste_generation_m3_day,storage_capacity_m3,current_storage_m3,days_until_full,last_collection_date,collection_frequency_days,access_restrictions,minimum_tanker_size_dwt,contract_type,distance_from_nearest_port_nm
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-01,4921.0,75.0,79.75,1200,601.4,7.5,2023-12-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-02,4954.0,75.0,77.05,1200,678.4,6.8,2023-12-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-03,4943.0,75.0,87.13,1200,765.5,5.0,2023-12-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-04,5012.0,75.0,169.51,1200,935.1,1.6,2023-12-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-05,4982.0,75.0,149.8,1200,223.6,6.5,2024-01-05,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-06,5046.0,75.0,174.16,1200,397.7,4.6,2024-01-05,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-07,5123.0,75.0,149.15,1200,546.9,4.4,2024-01-05,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-08,4885.0,75.0,164.28,1200,711.2,3.0,2024-01-05,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-09,5062.0,75.0,103.07,1200,814.2,3.7,2024-01-05,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-10,4914.0,75.0,165.84,1200,980.1,1.3,2024-01-05,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-11,5092.0,75.1,102.12,1200,293.3,8.9,2024-01-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-12,5052.0,75.1,64.68,1200,358.0,13.0,2024-01-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-13,4962.0,75.1,76.06,1200,434.0,10.1,2024-01-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-14,4953.0,75.1,173.53,1200,607.6,3.4,2024-01-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-15,5025.0,75.1,107.46,1200,715.0,4.5,2024-01-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-16,4901.0,75.1,90.97,1200,806.0,4.3,2024-01-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-17,5061.0,75.1,171.24,1200,977.3,1.3,2024-01-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-18,4972.0,75.1,81.16,1200,1058.4,1.7,2024-01-11,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-19,4995.0,75.1,157.89,1200,185.4,6.4,2024-01-19,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-20,5016.0,75.1,164.52,1200,349.9,5.2,2024-01-19,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-21,5053.0,75.1,160.23,1200,510.2,4.3,2024-01-19,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-22,4915.0,75.1,101.06,1200,611.2,5.8,2024-01-19,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-23,4846.0,75.1,172.83,1200,784.1,2.4,2024-01-19,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-24,4885.0,75.1,142.12,1200,926.2,1.9,2024-01-19,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-25,5078.0,75.1,159.79,1200,162.8,6.5,2024-01-25,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-26,4932.0,75.1,134.92,1200,297.7,6.7,2024-01-25,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-27,4917.0,75.1,142.49,1200,440.2,5.3,2024-01-25,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-28,4921.0,75.1,101.6,1200,541.8,6.5,2024-01-25,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-29,5003.0,75.2,163.25,1200,705.0,3.0,2024-01-25,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-30,5009.0,75.2,144.25,1200,849.3,2.4,2024-01-25,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-01-31,5120.0,75.2,174.61,1200,1023.9,1.0,2024-01-25,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-01,5037.0,75.2,87.75,1200,229.4,11.1,2024-02-01,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-02,4979.0,75.2,147.7,1200,377.1,5.6,2024-02-01,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-03,4987.0,75.2,116.12,1200,493.2,6.1,2024-02-01,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-04,4893.0,75.2,123.98,1200,617.2,4.7,2024-02-01,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-05,4843.0,75.2,69.09,1200,686.3,7.4,2024-02-01,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-06,4966.0,75.2,160.08,1200,846.3,2.2,2024-02-01,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-07,4863.0,75.2,119.24,1200,965.6,2.0,2024-02-01,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-08,4857.0,75.2,80.23,1200,1045.8,1.9,2024-02-01,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-09,4898.0,75.2,146.73,1200,196.6,6.8,2024-02-09,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-10,4863.0,75.2,99.37,1200,296.0,9.1,2024-02-09,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-11,4933.0,75.2,75.42,1200,371.4,11.0,2024-02-09,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-12,5017.0,75.2,115.56,1200,487.0,6.2,2024-02-09,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-13,5008.0,75.2,98.25,1200,585.2,6.3,2024-02-09,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-14,5137.0,75.2,100.27,1200,685.5,5.1,2024-02-09,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-15,5046.0,75.2,146.82,1200,832.3,2.5,2024-02-09,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-16,4853.0,75.3,64.86,1200,897.2,4.7,2024-02-09,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-17,4904.0,75.3,152.95,1200,1050.2,1.0,2024-02-09,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-18,5079.0,75.3,84.01,1200,209.6,11.8,2024-02-18,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-19,4996.0,75.3,77.39,1200,287.0,11.8,2024-02-18,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-20,5127.0,75.3,70.24,1200,357.2,12.0,2024-02-18,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-21,4950.0,75.3,140.26,1200,497.5,5.0,2024-02-18,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-22,5001.0,75.3,106.86,1200,604.3,5.6,2024-02-18,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-23,4921.0,75.3,114.29,1200,718.6,4.2,2024-02-18,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-24,5106.0,75.3,151.15,1200,869.8,2.2,2024-02-18,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-25,5029.0,75.3,140.18,1200,1010.0,1.4,2024-02-18,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-26,5051.0,75.3,97.19,1200,262.3,9.6,2024-02-26,25,Weather window >Sea State 4,2000,Annual,38
PLT-EM-001,Prinos,Eastern Mediterranean,40.76,24.56,Energean,2024-02-27,5024.0,75.3,148.69,1200,411.0,5.3,2024-02-26,25,Weather window >Sea State 4,2000,Annual,38
