demand_id,date,port_code,port_name,port_country,port_latitude,port_longitude,vessel_calls_total,vessel_calls_by_type_container,vessel_calls_by_type_tanker,vessel_calls_by_type_bulk,vessel_calls_by_type_cruise,vessel_calls_by_type_other,waste_volume_collected_m3,waste_bilge_m3,waste_sludge_m3,waste_slops_m3,waste_other_m3,avg_vessel_size_gt,hec_market_share_pct,competitor_presence,port_reception_facility_capacity_m3,current_storage_fill_pct,days_until_full
DEM-PIR-20220101,2022-01-01,PIR,Piraeus,GR,37.9475,23.637,42.5,15.4,11.8,10.1,0.3,4.9,699.9,201.0,215.1,277.8,6.0,46395,77.2,True,25000,46.1,18.6
DEM-PIR-20220102,2022-01-02,PIR,Piraeus,GR,37.9475,23.637,37.9,11.5,13.1,9.0,0.0,4.4,543.8,128.0,190.4,221.6,3.8,49376,77.2,True,25000,48.6,20.6
DEM-PIR-20220103,2022-01-03,PIR,Piraeus,GR,37.9475,23.637,51.4,19.7,16.4,9.5,0.0,5.8,850.3,216.8,243.0,384.2,6.3,46596,77.2,True,25000,52.7,11.6
DEM-PIR-20220104,2022-01-04,PIR,Piraeus,GR,37.9475,23.637,52.1,19.3,16.0,9.9,0.1,6.9,867.4,219.3,270.0,371.0,7.2,48353,77.2,True,25000,55.4,16.4
DEM-PIR-20220105,2022-01-05,PIR,Piraeus,GR,37.9475,23.637,49.1,14.1,17.1,10.1,0.2,7.5,728.8,173.3,200.2,347.7,7.6,45181,77.2,True,25000,58.9,11.6
DEM-PIR-20220106,2022-01-06,PIR,Piraeus,GR,37.9475,23.637,51.0,16.4,14.6,9.0,0.2,10.9,733.7,189.6,263.1,271.4,9.6,40318,77.2,True,25000,21.9,23.5
DEM-PIR-20220107,2022-01-07,PIR,Piraeus,GR,37.9475,23.637,51.1,16.4,17.0,8.7,0.0,9.0,703.2,184.0,205.9,302.7,10.6,48692,77.2,True,25000,25.1,23.8
DEM-PIR-20220108,2022-01-08,PIR,Piraeus,GR,37.9475,23.637,42.2,14.6,15.4,9.4,0.0,2.8,647.8,162.3,193.4,289.3,2.9,46753,77.2,True,25000,28.2,22.8
DEM-PIR-20220109,2022-01-09,PIR,Piraeus,GR,37.9475,23.637,38.4,13.7,14.5,7.2,0.1,3.0,600.8,123.0,199.1,275.9,2.8,45548,77.2,True,25000,30.8,27.4
DEM-PIR-20220110,2022-01-10,PIR,Piraeus,GR,37.9475,23.637,48.6,14.6,19.3,10.3,0.0,4.5,818.2,206.3,215.2,392.2,4.4,52449,77.2,True,25000,34.2,19.3
