batch_id,reception_id,start_timestamp,end_timestamp,facility_code,operator_id,operator_experience_years,separator_unit_id,pre_treatment,pre_settling_hours,target_oil_spec,batch_priority,total_volume_input_m3,total_oil_output_m3,total_water_output_m3,total_solids_output_kg,oil_recovery_yield_pct,energy_consumed_kwh,chemicals_cost_eur,labor_hours,total_processing_cost_eur,recovered_oil_revenue_eur,solid_fuel_revenue_eur,net_margin_eur,quality_pass,quality_failure_reason
BATCH-PIR-2022-00001,REC-PIR-2022-00001,2022-01-01 04:12:32,2022-01-02 22:11:34.400000,PIR,OP-PIR-02,7.2,PIR-DEC-003,Centrifugation,3.6,Re-refinery Feedstock,Scheduled,1919.2,1567.44,182.81,65413.7,90.82,10421.5,6687.53,73.4,11362.04,787377.45,4861.56,780876.97,True,
BATCH-PIR-2022-00002,REC-PIR-2022-00002,2022-01-01 13:29:34,2022-01-01 20:29:10.000000,PIR,OP-PIR-08,9.1,PIR-GRV-002,None,5.8,IMO 2020 Compliant,High,71.6,3.18,56.12,1592.4,42.96,366.7,935.8,1.5,1043.14,1328.18,72.33,357.37,True,
BATCH-PIR-2022-00003,REC-PIR-2022-00003,2022-01-02 02:27:52,2022-01-02 07:43:28.000000,PIR,OP-PIR-03,10.7,PIR-DSC-003,Centrifugation,3.8,Recovered Oil Grade B,High,51.1,14.68,16.36,980.7,51.2,344.8,507.71,1.8,615.08,5392.21,65.19,4842.32,True,
BATCH-PIR-2022-00004,REC-PIR-2022-00004;REC-PIR-2022-00005,2022-01-02 03:13:38,2022-01-04 12:06:58.727273,PIR,OP-PIR-09,17.3,PIR-DAF-001,Gravity Separation,23.1,MARPOL Annex I,Urgent,1858.4,1299.81,204.23,48594.5,80.99,9939.5,8135.77,49.0,12419.5,606926.98,3605.24,598112.72,False,Sulfur specification exceeded
BATCH-PIR-2022-00005,REC-PIR-2022-00006,2022-01-02 20:48:09,2022-01-03 07:37:05.000000,PIR,OP-PIR-02,7.2,PIR-DEC-002,None,6.0,IMO 2020 Compliant,High,216.7,44.2,118.02,4261.4,53.92,1454.8,711.08,5.3,1157.04,16835.79,240.17,15918.92,True,
BATCH-PIR-2022-00006,REC-PIR-2022-00007,2022-01-03 01:31:45,2022-01-03 07:30:27.857143,PIR,OP-PIR-09,17.3,PIR-DSC-004,Heating,4.5,EU Waste Directive,Normal,41.4,1.55,28.69,364.1,49.32,177.9,598.33,2.8,798.37,794.17,27.37,23.17,True,
BATCH-PIR-2022-00007,REC-PIR-2022-00008,2022-01-03 02:59:42,2022-01-03 08:50:19.090909,PIR,OP-PIR-02,7.2,PIR-DAF-001,Chemical Demulsification,5.1,EU Waste Directive,Normal,40.9,1.13,28.73,2032.1,45.98,190.9,264.71,1.4,349.39,581.59,60.41,292.61,True,
BATCH-PIR-2022-00008,REC-PIR-2022-00009,2022-01-03 04:15:18,2022-01-03 05:57:48.000000,PIR,OP-PIR-10,15.8,PIR-GRV-002,Heating,1.0,Recovered Oil Grade B,Normal,42.5,7.35,21.34,1626.9,41.28,271.8,544.04,1.2,637.39,2653.66,49.98,2066.25,True,
BATCH-PIR-2022-00009,REC-PIR-2022-00010,2022-01-03 04:59:26,2022-01-03 13:09:30.285714,PIR,OP-PIR-01,3.9,PIR-DSC-004,Gravity Separation,6.8,MARPOL Annex I,High,38.3,8.34,19.1,1497.3,48.04,300.0,348.85,1.7,488.55,3806.77,31.9,3350.12,True,
BATCH-PIR-2022-00010,REC-PIR-2022-00011,2022-01-03 10:00:57,2022-01-03 16:28:09.000000,PIR,OP-PIR-02,7.2,PIR-GRV-002,Heating,5.0,IMO 2020 Compliant,Normal,87.2,6.84,56.83,1113.3,38.77,631.2,901.23,2.2,1058.69,3635.07,66.36,2642.74,True,
