voyage_id,vessel_id,vessel_name,vessel_class,departure_port,departure_time,arrival_port,arrival_time,distance_nm,voyage_duration_hrs,sea_time_hrs,port_time_hrs,waiting_time_hrs,avg_speed_knots,fuel_consumed_mt,cargo_loaded_m3,cargo_discharged_m3,revenue_eur,fuel_cost_eur,port_charges_eur,total_voyage_cost_eur,voyage_margin_eur,weather_delays_hrs,mechanical_delays_hrs,collections_count,avg_collection_time_hrs
VOY-2022-00001,HEC-CS-001,HEC Nereid,Coastal Small,PIR,2022-01-02 12:34:36.016790,PSD,2022-01-05 15:35:46.776888,540.0,75.0,66.9,5.0,1.6,8.1,9.0,383.0,372.0,18281.0,3713.0,3361.0,7074.0,11207.0,1.5,0.0,6,0.8
VOY-2022-00002,HEC-CS-001,HEC Nereid,Coastal Small,PSD,2022-01-06 08:50:54.514485,IST,2022-01-12 06:20:23.230928,1000.0,141.5,133.4,4.0,0.2,7.5,17.3,441.2,439.7,10469.0,8583.0,4131.0,12714.0,-2245.0,3.9,0.0,8,0.5
VOY-2022-00003,HEC-CS-001,HEC Nereid,Coastal Small,IST,2022-01-13 04:10:03.612305,ALG,2022-01-23 13:25:01.304141,2060.0,249.2,241.4,4.0,3.5,8.5,34.9,337.0,331.4,9148.0,20529.0,3311.0,23840.0,-14692.0,0.0,0.3,7,0.6
VOY-2022-00004,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-01-24 20:16:13.695833,TAN,2022-01-25 11:57:26.193431,15.0,15.7,1.9,11.0,2.2,7.9,0.7,355.2,341.5,8627.0,368.0,1784.0,2153.0,6475.0,0.6,0.0,3,3.7
VOY-2022-00005,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-01-26 12:39:08.018444,GIB,2022-01-27 20:07:34.080010,20.0,31.5,2.4,9.0,11.2,8.4,0.7,292.6,289.0,9064.0,319.0,2921.0,3240.0,5823.0,8.9,0.0,6,1.5
VOY-2022-00006,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-01-28 23:31:18.455748,ALG,2022-01-29 13:07:25.780576,5.0,13.6,0.6,7.0,5.0,8.3,0.3,267.4,259.3,11708.0,181.0,4659.0,4840.0,6868.0,1.0,0.0,8,0.9
VOY-2022-00007,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-01-30 10:55:10.721115,GIB,2022-01-30 20:21:36.924998,5.0,9.4,0.6,5.0,1.0,7.8,0.3,333.7,322.6,12472.0,116.0,1501.0,1617.0,10855.0,2.8,0.0,6,0.8
VOY-2022-00008,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-01-31 22:22:31.778627,ALE,2022-02-11 17:12:29.069306,1880.0,258.8,242.8,11.0,4.1,7.7,31.1,450.7,443.7,12105.0,15118.0,4648.0,19765.0,-7660.0,0.9,0.0,7,1.6
VOY-2022-00009,HEC-CS-001,HEC Nereid,Coastal Small,ALE,2022-02-13 08:45:11.028930,TAN,2022-02-26 04:58:48.334630,2340.0,308.2,288.2,5.0,14.5,8.1,37.1,267.2,257.2,9086.0,16540.0,6278.0,22818.0,-13732.0,0.5,0.0,7,0.7
VOY-2022-00010,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-02-26 23:00:04.872070,ALG,2022-02-27 22:50:03.139240,15.0,23.8,1.9,11.0,8.2,7.8,0.7,289.0,280.9,6124.0,394.0,4894.0,5288.0,836.0,2.7,0.0,7,1.6
VOY-2022-00011,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-02-28 08:22:34.555223,TAN,2022-02-28 22:58:53.735575,15.0,14.6,1.9,6.0,4.9,7.9,0.5,295.4,293.9,5733.0,281.0,3544.0,3825.0,1908.0,1.8,0.0,4,1.5
VOY-2022-00012,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-03-01 17:30:21.535842,GIB,2022-03-02 01:41:52.466503,20.0,8.2,2.4,5.0,0.0,8.4,0.5,281.5,275.1,7248.0,264.0,2643.0,2907.0,4341.0,0.2,0.6,4,1.2
VOY-2022-00013,HEC-CS-001,HEC Nereid,Coastal Small,GIB,2022-03-03 00:01:52.730641,TAN,2022-03-04 20:40:10.290242,20.0,44.6,2.4,7.0,20.6,8.2,0.6,315.4,300.3,10235.0,298.0,5568.0,5866.0,4370.0,1.4,13.2,8,0.9
VOY-2022-00014,HEC-CS-001,HEC Nereid,Coastal Small,TAN,2022-03-05 13:17:22.175829,ALG,2022-03-07 06:30:02.282433,15.0,41.2,2.0,5.0,26.8,7.5,0.5,298.4,285.1,6232.0,182.0,6243.0,6426.0,-193.0,7.4,0.0,7,0.7
VOY-2022-00015,HEC-CS-001,HEC Nereid,Coastal Small,ALG,2022-03-08 03:06:21.970219,TAN,2022-03-08 22:07:06.533962,15.0,19.0,1.9,10.0,3.4,7.8,0.7,424.4,414.9,19968.0,290.0,1832.0,2122.0,17846.0,3.7,0.0,3,3.3
