timestamp,facility_code,ambient_temperature_c,humidity_pct,wind_speed_ms,precipitation_mm,barometric_pressure_hpa
2022-01-01 00:00:00,PIR,5.0,75.9,5.3,0.0,998.6
2022-01-01 01:00:00,PIR,5.6,67.3,6.1,0.0,1007.1
2022-01-01 02:00:00,PIR,5.0,64.5,6.9,0.0,1000.5
2022-01-01 03:00:00,PIR,6.2,73.3,6.7,0.0,1014.4
2022-01-01 04:00:00,PIR,7.8,58.7,7.5,0.0,1019.4
2022-01-01 05:00:00,PIR,6.6,74.0,5.9,0.0,1012.5
2022-01-01 06:00:00,PIR,10.2,62.8,6.2,0.0,1016.8
2022-01-01 07:00:00,PIR,9.2,71.5,5.8,0.0,1012.7
2022-01-01 08:00:00,PIR,11.5,56.9,4.8,0.0,994.6
2022-01-01 09:00:00,PIR,10.4,66.3,6.3,0.0,1008.7
2022-01-01 10:00:00,PIR,12.1,77.7,6.1,1.3,1007.8
2022-01-01 11:00:00,PIR,10.7,70.6,6.6,0.0,1002.8
2022-01-01 12:00:00,PIR,11.8,58.5,7.3,0.0,1001.9
2022-01-01 13:00:00,PIR,11.9,68.6,6.7,0.0,1012.5
2022-01-01 14:00:00,PIR,11.2,71.2,7.9,5.16,995.1
2022-01-01 15:00:00,PIR,11.4,75.3,8.5,0.0,1003.1
2022-01-01 16:00:00,PIR,9.4,59.0,9.0,0.0,1020.3
2022-01-01 17:00:00,PIR,9.7,62.6,9.1,0.0,1003.1
2022-01-01 18:00:00,PIR,8.5,65.6,8.2,0.0,1018.1
2022-01-01 19:00:00,PIR,6.8,65.1,7.3,0.0,1014.6
2022-01-01 20:00:00,PIR,8.8,70.7,8.1,0.0,1006.1
2022-01-01 21:00:00,PIR,6.7,68.7,7.6,2.05,1012.3
2022-01-01 22:00:00,PIR,5.5,78.0,7.6,0.0,1000.1
2022-01-01 23:00:00,PIR,5.7,84.5,5.7,0.0,991.1
2022-01-02 00:00:00,PIR,5.8,69.9,6.1,0.0,1011.5
2022-01-02 01:00:00,PIR,4.6,68.2,5.8,0.0,1023.6
2022-01-02 02:00:00,PIR,5.1,72.9,8.0,0.83,1022.8
2022-01-02 03:00:00,PIR,8.1,64.2,6.3,0.0,1016.3
2022-01-02 04:00:00,PIR,6.6,76.1,6.4,0.92,1005.1
2022-01-02 05:00:00,PIR,8.8,53.5,6.5,0.0,1011.6
2022-01-02 06:00:00,PIR,8.7,57.7,7.1,0.0,1019.4
2022-01-02 07:00:00,PIR,8.8,76.0,7.1,0.36,1013.2
2022-01-02 08:00:00,PIR,10.4,67.3,7.9,0.0,1016.7
2022-01-02 09:00:00,PIR,9.3,67.3,7.2,0.0,1005.2
2022-01-02 10:00:00,PIR,12.6,61.1,6.5,0.0,1017.2
2022-01-02 11:00:00,PIR,11.5,73.0,5.8,0.0,1009.8
2022-01-02 12:00:00,PIR,11.5,67.5,7.5,0.0,1025.2
2022-01-02 13:00:00,PIR,10.9,68.0,5.9,0.0,1011.0
2022-01-02 14:00:00,PIR,13.2,62.5,7.5,0.0,1024.6
2022-01-02 15:00:00,PIR,12.3,60.1,7.2,0.0,1013.4
2022-01-02 16:00:00,PIR,11.1,68.9,8.4,0.0,1002.8
2022-01-02 17:00:00,PIR,9.2,67.0,6.3,7.29,1005.7
2022-01-02 18:00:00,PIR,8.4,64.1,8.0,0.0,1022.6
2022-01-02 19:00:00,PIR,6.8,71.1,9.0,0.0,1005.1
2022-01-02 20:00:00,PIR,5.6,65.9,7.0,0.31,1000.2
2022-01-02 21:00:00,PIR,5.9,66.0,5.5,0.0,1008.2
2022-01-02 22:00:00,PIR,5.4,71.7,5.3,0.0,1004.6
2022-01-02 23:00:00,PIR,5.4,72.8,6.7,0.0,991.0
2022-01-03 00:00:00,PIR,6.4,80.2,8.5,0.38,1018.4
2022-01-03 01:00:00,PIR,5.4,64.7,8.8,0.0,1000.3
2022-01-03 02:00:00,PIR,4.5,69.8,8.4,0.0,1008.9
2022-01-03 03:00:00,PIR,4.7,65.2,6.2,0.0,1005.3
2022-01-03 04:00:00,PIR,6.2,79.9,5.4,0.0,1005.7
2022-01-03 05:00:00,PIR,8.0,72.5,5.2,3.81,1005.1
2022-01-03 06:00:00,PIR,8.7,71.9,4.3,0.0,1010.6
2022-01-03 07:00:00,PIR,8.6,72.1,6.0,0.0,1011.6
2022-01-03 08:00:00,PIR,9.3,66.0,5.1,0.0,1003.8
2022-01-03 09:00:00,PIR,10.2,56.9,7.1,0.0,1001.7
