origin_port,destination_port,distance_nm,typical_transit_hrs_small,typical_transit_hrs_medium,typical_transit_hrs_large,fuel_consumption_mt_small,fuel_consumption_mt_medium,fuel_consumption_mt_large,strait_passage,pilotage_required
PIR,PIR,0,0,0,0,0.0,0.0,0.0,None,False
PIR,HAM,2800,311.1,254.5,233.3,64.81,127.25,243.02,Strait of Gibraltar - English Channel,True
PIR,GIB,1310,145.6,119.1,109.2,30.33,59.55,113.75,None,False
PIR,MLT,410,45.6,37.3,34.2,9.5,18.65,35.62,None,False
PIR,GEN,760,84.4,69.1,63.3,17.58,34.55,65.94,None,True
PIR,MRS,990,110.0,90.0,82.5,22.92,45.0,85.94,None,False
PIR,BCN,1180,131.1,107.3,98.3,27.31,53.65,102.4,None,True
PIR,RTM,2700,300.0,245.5,225.0,62.5,122.75,234.38,Strait of Gibraltar - English Channel,True
PIR,ALG,1330,147.8,120.9,110.8,30.79,60.45,115.42,Strait of Gibraltar,False
PIR,LIM,520,57.8,47.3,43.3,12.04,23.65,45.1,None,False
PIR,ALE,520,57.8,47.3,43.3,12.04,23.65,45.1,None,True
PIR,IST,340,37.8,30.9,28.3,7.88,15.45,29.48,Bosphorus,True
PIR,PSD,540,60.0,49.1,45.0,12.5,24.55,46.88,None,True
PIR,TAN,1340,148.9,121.8,111.7,31.02,60.9,116.35,Strait of Gibraltar,False
HAM,PIR,2800,311.1,254.5,233.3,64.81,127.25,243.02,Strait of Gibraltar - English Channel,True
HAM,HAM,0,0,0,0,0.0,0.0,0.0,None,False
HAM,GIB,1530,170.0,139.1,127.5,35.42,69.55,132.81,Strait of Gibraltar,True
HAM,MLT,2300,255.6,209.1,191.7,53.25,104.55,199.69,Strait of Gibraltar - English Channel,True
HAM,GEN,2420,268.9,220.0,201.7,56.02,110.0,210.1,Strait of Gibraltar - English Channel,True
HAM,MRS,2050,227.8,186.4,170.8,47.46,93.2,177.92,Strait of Gibraltar - English Channel,True
HAM,BCN,1820,202.2,165.5,151.7,42.12,82.75,158.02,Strait of Gibraltar - English Channel,True
HAM,RTM,260,28.9,23.6,21.7,6.02,11.8,22.6,None,True
HAM,ALG,1540,171.1,140.0,128.3,35.65,70.0,133.65,None,True
HAM,LIM,3100,344.4,281.8,258.3,71.75,140.9,269.06,None,True
HAM,ALE,3450,383.3,313.6,287.5,79.85,156.8,299.48,None,True
HAM,IST,3050,338.9,277.3,254.2,70.6,138.65,264.79,Bosphorus - Strait of Gibraltar - English Channel,True
HAM,PSD,3620,402.2,329.1,301.7,83.79,164.55,314.27,None,True
HAM,TAN,1520,168.9,138.2,126.7,35.19,69.1,131.98,None,True
GIB,PIR,1310,145.6,119.1,109.2,30.33,59.55,113.75,None,False
GIB,HAM,1530,170.0,139.1,127.5,35.42,69.55,132.81,Strait of Gibraltar,True
GIB,GIB,0,0,0,0,0.0,0.0,0.0,None,False
GIB,MLT,1060,117.8,96.4,88.3,24.54,48.2,91.98,None,False
GIB,GEN,870,96.7,79.1,72.5,20.15,39.55,75.52,None,True
GIB,MRS,720,80.0,65.5,60.0,16.67,32.75,62.5,None,False
GIB,BCN,540,60.0,49.1,45.0,12.5,24.55,46.88,None,True
GIB,RTM,1300,144.4,118.2,108.3,30.08,59.1,112.81,Strait of Gibraltar,True
GIB,ALG,5,0.6,0.5,0.4,0.12,0.25,0.42,Strait of Gibraltar,False
GIB,LIM,1760,195.6,160.0,146.7,40.75,80.0,152.81,None,False
GIB,ALE,1880,208.9,170.9,156.7,43.52,85.45,163.23,None,True
GIB,IST,2050,227.8,186.4,170.8,47.46,93.2,177.92,Bosphorus - Strait of Gibraltar,True
GIB,PSD,1960,217.8,178.2,163.3,45.38,89.1,170.1,None,True
GIB,TAN,20,2.2,1.8,1.7,0.46,0.9,1.77,Strait of Gibraltar,False
MLT,PIR,410,45.6,37.3,34.2,9.5,18.65,35.62,None,False
MLT,HAM,2300,255.6,209.1,191.7,53.25,104.55,199.69,Strait of Gibraltar - English Channel,True
MLT,GIB,1060,117.8,96.4,88.3,24.54,48.2,91.98,None,False
MLT,MLT,0,0,0,0,0.0,0.0,0.0,None,False
MLT,GEN,520,57.8,47.3,43.3,12.04,23.65,45.1,None,True
MLT,MRS,540,60.0,49.1,45.0,12.5,24.55,46.88,None,False
MLT,BCN,830,92.2,75.5,69.2,19.21,37.75,72.08,None,True
MLT,RTM,2320,257.8,210.9,193.3,53.71,105.45,201.35,Strait of Gibraltar - English Channel,True
MLT,ALG,1080,120.0,98.2,90.0,25.0,49.1,93.75,None,False
MLT,LIM,950,105.6,86.4,79.2,22.0,43.2,82.5,None,False
MLT,ALE,870,96.7,79.1,72.5,20.15,39.55,75.52,None,True
MLT,IST,820,91.1,74.5,68.3,18.98,37.25,71.15,Bosphorus,True
MLT,PSD,860,95.6,78.2,71.7,19.92,39.1,74.69,None,True
MLT,TAN,1090,121.1,99.1,90.8,25.23,49.55,94.58,None,False
GEN,PIR,760,84.4,69.1,63.3,17.58,34.55,65.94,None,True
GEN,HAM,2420,268.9,220.0,201.7,56.02,110.0,210.1,Strait of Gibraltar - English Channel,True
GEN,GIB,870,96.7,79.1,72.5,20.15,39.55,75.52,None,True
GEN,MLT,520,57.8,47.3,43.3,12.04,23.65,45.1,None,True
GEN,GEN,0,0,0,0,0.0,0.0,0.0,None,False
GEN,MRS,180,20.0,16.4,15.0,4.17,8.2,15.62,None,True
GEN,BCN,500,55.6,45.5,41.7,11.58,22.75,43.44,None,True
GEN,RTM,1870,207.8,170.0,155.8,43.29,85.0,162.29,Strait of Gibraltar - English Channel,True
GEN,ALG,900,100.0,81.8,75.0,20.83,40.9,78.12,None,True
GEN,LIM,1280,142.2,116.4,106.7,29.62,58.2,111.15,None,True
GEN,ALE,1320,146.7,120.0,110.0,30.56,60.0,114.58,None,True
GEN,IST,1100,122.2,100.0,91.7,25.46,50.0,95.52,Bosphorus,True
GEN,PSD,1380,153.3,125.5,115.0,31.94,62.75,119.79,None,True
GEN,TAN,940,104.4,85.5,78.3,21.75,42.75,81.56,None,True
MRS,PIR,990,110.0,90.0,82.5,22.92,45.0,85.94,None,False
MRS,HAM,2050,227.8,186.4,170.8,47.46,93.2,177.92,Strait of Gibraltar - English Channel,True
MRS,GIB,720,80.0,65.5,60.0,16.67,32.75,62.5,None,False
MRS,MLT,540,60.0,49.1,45.0,12.5,24.55,46.88,None,False
MRS,GEN,180,20.0,16.4,15.0,4.17,8.2,15.62,None,True
MRS,MRS,0,0,0,0,0.0,0.0,0.0,None,False
MRS,BCN,340,37.8,30.9,28.3,7.88,15.45,29.48,None,True
MRS,RTM,1700,188.9,154.5,141.7,39.35,77.25,147.6,Strait of Gibraltar - English Channel,True
MRS,ALG,750,83.3,68.2,62.5,17.35,34.1,65.1,None,False
MRS,LIM,1520,168.9,138.2,126.7,35.19,69.1,131.98,None,False
MRS,ALE,1570,174.4,142.7,130.8,36.33,71.35,136.25,None,True
MRS,IST,1360,151.1,123.6,113.3,31.48,61.8,118.02,Bosphorus,True
MRS,PSD,1630,181.1,148.2,135.8,37.73,74.1,141.46,None,True
MRS,TAN,780,86.7,70.9,65.0,18.06,35.45,67.71,None,False
BCN,PIR,1180,131.1,107.3,98.3,27.31,53.65,102.4,None,True
BCN,HAM,1820,202.2,165.5,151.7,42.12,82.75,158.02,Strait of Gibraltar - English Channel,True
BCN,GIB,540,60.0,49.1,45.0,12.5,24.55,46.88,None,True
BCN,MLT,830,92.2,75.5,69.2,19.21,37.75,72.08,None,True
BCN,GEN,500,55.6,45.5,41.7,11.58,22.75,43.44,None,True
BCN,MRS,340,37.8,30.9,28.3,7.88,15.45,29.48,None,True
BCN,BCN,0,0,0,0,0.0,0.0,0.0,None,False
BCN,RTM,1350,150.0,122.7,112.5,31.25,61.35,117.19,Strait of Gibraltar - English Channel,True
BCN,ALG,490,54.4,44.5,40.8,11.33,22.25,42.5,None,True
BCN,LIM,1770,196.7,160.9,147.5,40.98,80.45,153.65,None,True
BCN,ALE,1870,207.8,170.0,155.8,43.29,85.0,162.29,None,True
BCN,IST,1640,182.2,149.1,136.7,37.96,74.55,142.4,Bosphorus,True
BCN,PSD,1930,214.4,175.5,160.8,44.67,87.75,167.5,None,True
BCN,TAN,520,57.8,47.3,43.3,12.04,23.65,45.1,None,True
RTM,PIR,2700,300.0,245.5,225.0,62.5,122.75,234.38,Strait of Gibraltar - English Channel,True
RTM,HAM,260,28.9,23.6,21.7,6.02,11.8,22.6,None,True
RTM,GIB,1300,144.4,118.2,108.3,30.08,59.1,112.81,Strait of Gibraltar,True
RTM,MLT,2320,257.8,210.9,193.3,53.71,105.45,201.35,Strait of Gibraltar - English Channel,True
RTM,GEN,1870,207.8,170.0,155.8,43.29,85.0,162.29,Strait of Gibraltar - English Channel,True
RTM,MRS,1700,188.9,154.5,141.7,39.35,77.25,147.6,Strait of Gibraltar - English Channel,True
RTM,BCN,1350,150.0,122.7,112.5,31.25,61.35,117.19,Strait of Gibraltar - English Channel,True
RTM,RTM,0,0,0,0,0.0,0.0,0.0,None,False
RTM,ALG,1310,145.6,119.1,109.2,30.33,59.55,113.75,None,True
