feature,importance
oil_content_pct,0.68676525
similar_batch_avg_yield,0.060346443
water_x_temperature,0.016028197
emulsion_difficulty_score,0.014445535
density_15c_kg_m3,0.012866924
emulsion_layer_pct,0.01230882
viscosity_40c_cst,0.011188256
solids_x_rpm,0.010789267
solids_content_pct,0.010418232
rolling_yield_7d,0.009468148
water_content_pct,0.008256581
residence_time_actual,0.008165788
operator_experience_years,0.007533059
viscosity_x_flow_rate,0.006319914
flash_point_c,0.0059696245
age_x_emulsion,0.0055207526
contamination_index,0.0053475616
ambient_heating_delta,0.0051779547
is_night_shift,0.0050834254
feed_flow_rate_m3_hr,0.0049519627
capacity_utilization,0.004874666
specific_energy_input,0.0048504416
sulfur_total_pct,0.0047966037
sulfur_x_volume,0.0047211433
equipment_hours_since_service,0.0046488773
operator_avg_yield,0.0046484913
g_force,0.004565272
rolling_energy_7d,0.004500268
chemical_to_emulsion_ratio,0.004441602
particle_size_d50_micron,0.004358884
oil_water_density_gap,0.0043484382
centrifuge_speed_rpm,0.0043454715
waste_age_degradation,0.00416307
hour_of_day,0.0040464043
solid_particle_settling_velocity,0.003997401
sulfur_to_oil_ratio,0.0039929063
pour_point_c,0.003946629
month,0.0038869914
temperature_vs_pour_point_margin,0.0038254627
day_of_week,0.0036497947
viscosity_temperature_ratio,0.0033116636
cat_fines_risk,0.003127879
chemical_pump_rate_ml_min,0.0
feed_temperature_c,0.0
equipment_condition_score,0.0
is_weekend,0.0
